uuid,name,name_ro,published
b61c28ce-e5d9-46da-a5af-d2ecacec67bf,Circular,circular,true
91683b27-5c47-4105-a553-fb36e8a2bf0c,H-shaped,rectangular (formă de H),true
353ae810-ac02-4336-b394-2c0f141b527f,Irregular,neregulat ,true
a915bae6-3401-4006-aff7-13e82055895c,L-shaped,rectangular (formă de L),true
2b51ab65-0c5b-4deb-9f11-d9d25db81ab6,Octagonal,,false
7f6a261b-24c7-4e38-98ca-4dbb57b5416c,Rectangular,rectangular ,true
bfad6b89-e0e3-4878-b2e7-77a9c737bcde,Square,,false
fa2b958b-5953-4205-aef0-4dbcd0e9f294,T-shaped,rectangular (forma de T),true
6301b3d0-8fa4-4d16-be53-c172f746f708,Triangular,,false
25ecb9fa-ef0e-4632-aeef-6fa1a27c41cc,U-shaped,rectangular (forma de U),true
8e323e0b-28fc-4881-b9d9-96242b1f5870,Unknown,necunoscut / altele,true